DATE,DEUPRMNVG01IXOBSAM
1962-01-01,24.9537304571542
1962-02-01,24.7984167821096
1962-03-01,24.69487433208
1962-04-01,24.1253908569167
1962-05-01,25.1608153572135
1962-06-01,24.69487433208
1962-07-01,24.9019592321393
1962-08-01,26.1444686324956
1962-09-01,25.4714427073026
1962-10-01,24.9537304571542
1962-11-01,25.1608153572135
1962-12-01,24.69487433208
1963-01-01,25.2125865822284
1963-02-01,25.005501682169
1963-03-01,25.5232139323174
1963-04-01,25.7302988323768
1963-05-01,25.5232139323174
1963-06-01,25.7820700573916
1963-07-01,26.0926974074807
1963-08-01,26.8692657827033
1963-09-01,26.2480110825252
1963-10-01,26.3515535325549
1963-11-01,26.5068672075994
1963-12-01,25.4714427073026
1964-01-01,26.8692657827033
1964-02-01,27.645834157926
1964-03-01,27.2316643578072
1964-04-01,27.2316643578072
1964-05-01,27.2316643578072
1964-06-01,27.645834157926
1964-07-01,28.3188600831189
1964-08-01,27.956461508015
1964-09-01,27.7493766079557
1964-10-01,28.3188600831189
1964-11-01,28.3188600831189
1964-12-01,28.629487433208
1965-01-01,29.3542845834158
1965-02-01,29.7684543835345
1965-03-01,29.5095982584603
1965-04-01,29.61314070849
1965-05-01,29.8719968335642
1965-06-01,29.3542845834158
1965-07-01,29.4060558084306
1965-08-01,29.4060558084306
1965-09-01,29.8719968335642
1965-10-01,29.9237680585791
1965-11-01,29.2507421333861
1965-12-01,30.7521076588165
1966-01-01,30.3379378586978
1966-02-01,30.1826241836533
1966-03-01,30.4932515337423
1966-04-01,30.1308529586384
1966-05-01,30.0273105086087
1966-06-01,30.1826241836533
1966-07-01,29.7684543835345
1966-08-01,29.3542845834158
1966-09-01,29.1471996833564
1966-10-01,29.0954284583416
1966-11-01,28.5777162081932
1966-12-01,28.9401147832971
1967-01-01,27.7493766079557
1967-02-01,26.8174945576885
1967-03-01,26.4033247575698
1967-04-01,26.8174945576885
1967-05-01,26.5586384326143
1967-06-01,27.0763506827627
1967-07-01,27.6976053829408
1967-08-01,26.8692657827033
1967-09-01,28.2153176330893
1967-10-01,28.4224025331486
1967-11-01,28.5777162081932
1967-12-01,32.0981595092025
1968-01-01,27.645834157926
1968-02-01,27.4905204828815
1968-03-01,28.2670888581041
1968-04-01,28.629487433208
1968-05-01,29.5095982584603
1968-06-01,30.0790817336236
1968-07-01,29.8202256085494
1968-08-01,32.2017019592321
1968-09-01,31.9946170591728
1968-10-01,32.0463882841876
1968-11-01,33.237126459529
1968-12-01,33.2888976845438
1969-01-01,33.4442113595884
1969-02-01,34.1690085097962
1969-03-01,34.4796358598852
1969-04-01,34.9973481100336
1969-05-01,35.4632891351672
1969-06-01,35.8256877102711
1969-07-01,35.9810013853156
1969-08-01,36.4987136354641
1969-09-01,36.4469424104492
1969-10-01,37.1199683356422
1969-11-01,37.4823669107461
1969-12-01,37.0681971106273
1970-01-01,37.3270532357016
1970-02-01,38.6213338610726
1970-03-01,38.8801899861468
1970-04-01,39.5532159113398
1970-05-01,39.5532159113398
1970-06-01,39.3461310112804
1970-07-01,40.2780130615476
1970-08-01,38.5177914110429
1970-09-01,38.5695626360578
1970-10-01,39.0872748862062
1970-11-01,38.828418761132
1970-12-01,39.2425885612508
1971-01-01,40.5368691866218
1971-02-01,39.3979022362953
1971-03-01,39.3461310112804
1971-04-01,39.501444686325
1971-05-01,39.2425885612508
1971-06-01,39.3461310112804
1971-07-01,41.0028102117554
1971-08-01,37.0681971106273
1971-09-01,38.7248763111023
1971-10-01,38.7248763111023
1971-11-01,37.4823669107461
1971-12-01,35.4115179101524
1972-01-01,39.0872748862062
1972-02-01,39.1390461112211
1972-03-01,39.6049871363546
1972-04-01,39.812072036414
1972-05-01,39.2943597862656
1972-06-01,39.5532159113398
1972-07-01,40.2262418365328
1972-08-01,39.4496734613101
1972-09-01,38.7248763111023
1972-10-01,39.812072036414
1972-11-01,40.795725311696
1972-12-01,40.7439540866812
1973-01-01,42.1417771620819
1973-02-01,42.4006332871561
1973-03-01,42.6077181872155
1973-04-01,42.3488620621413
1973-05-01,42.7112606372452
1973-06-01,42.1417771620819
1973-07-01,40.6921828616663
1973-08-01,42.8665743122897
1973-09-01,43.0218879873342
1973-10-01,42.9183455373046
1973-11-01,43.0218879873342
1973-12-01,43.0218879873342
1974-01-01,42.9183455373046
1974-02-01,42.5559469622007
1974-03-01,41.7276073619632
1974-04-01,42.0382347120522
1974-05-01,42.5559469622007
1974-06-01,41.779378586978
1974-07-01,42.452404512171
1974-08-01,40.6404116366515
1974-09-01,40.7439540866812
1974-10-01,40.3815555115773
1974-11-01,40.5368691866218
1974-12-01,38.2589352859687
1975-01-01,38.0518503859094
1975-02-01,38.4142489610133
1975-03-01,39.3979022362953
1975-04-01,39.7085295863843
1975-05-01,39.2425885612508
1975-06-01,39.3461310112804
1975-07-01,38.0000791608945
1975-08-01,40.1226993865031
1975-09-01,39.7085295863843
1975-10-01,40.1744706115179
1975-11-01,40.3297842865624
1975-12-01,40.2262418365328
1976-01-01,41.3134375618444
1976-02-01,41.9346922620226
1976-03-01,41.9864634870374
1976-04-01,41.8311498119929
1976-05-01,42.6077181872155
1976-06-01,43.2289728873936
1976-07-01,39.6567583613695
1976-08-01,42.1935483870968
1976-09-01,42.7112606372452
1976-10-01,43.1254304373639
1976-11-01,43.3325153374233
1976-12-01,43.3325153374233
1977-01-01,44.1608549376608
1977-02-01,44.2643973876905
1977-03-01,45.2480506629725
1977-04-01,44.109083712646
1977-05-01,43.8502275875717
1977-06-01,44.5750247377795
