DATE,MYAGM3DEM189S
1969-01-01,240800000000
1969-02-01,242400000000.000
1969-03-01,243400000000.000
1969-04-01,245500000000.000
1969-05-01,250600000000.000
1969-06-01,250600000000
1969-07-01,252200000000.000
1969-08-01,254900000000.000
1969-09-01,260500000000.000
1969-10-01,262300000000.000
1969-11-01,260500000000.000
1969-12-01,259900000000
1970-01-01,261300000000.000
1970-02-01,262300000000.000
1970-03-01,262000000000
1970-04-01,264600000000.000
1970-05-01,266000000000
1970-06-01,270400000000.000
1970-07-01,275400000000.000
1970-08-01,276200000000.000
1970-09-01,276600000000.000
1970-10-01,277500000000.000
1970-11-01,280000000000
1970-12-01,283300000000
1971-01-01,287300000000.000
1971-02-01,290500000000.000
1971-03-01,294900000000.000
1971-04-01,300000000000
1971-05-01,304000000000
1971-06-01,303900000000.000
1971-07-01,306900000000.000
1971-08-01,308900000000.000
1971-09-01,312100000000.000
1971-10-01,314600000000.000
1971-11-01,317000000000
1971-12-01,320800000000
1972-01-01,324700000000
1972-02-01,327800000000.000
1972-03-01,331100000000.000
1972-04-01,333500000000.000
1972-05-01,335200000000.000
1972-06-01,344200000000.000
1972-07-01,349900000000.000
1972-08-01,353400000000.000
1972-09-01,356300000000.000
1972-10-01,358100000000.000
1972-11-01,362300000000.000
1972-12-01,365800000000.000
1973-01-01,368500000000
1973-02-01,373000000000
1973-03-01,380500000000.000
1973-04-01,381500000000.000
1973-05-01,384700000000.000
1973-06-01,386700000000.000
1973-07-01,387600000000.000
1973-08-01,390100000000.000
1973-09-01,393300000000.000
1973-10-01,395600000000.000
1973-11-01,398400000000.000
1973-12-01,401700000000.000
1974-01-01,406700000000
1974-02-01,409500000000.000
1974-03-01,413200000000.000
1974-04-01,419100000000.000
1974-05-01,419200000000.000
1974-06-01,420700000000.000
1974-07-01,422800000000.000
1974-08-01,421900000000.000
1974-09-01,423700000000.000
1974-10-01,424200000000.000
1974-11-01,429400000000.000
1974-12-01,436300000000.000
1975-01-01,438500000000
1975-02-01,439800000000.000
1975-03-01,443700000000.000
1975-04-01,444400000000.000
1975-05-01,443600000000.000
1975-06-01,445300000000.000
1975-07-01,449500000000.000
1975-08-01,454400000000.000
1975-09-01,458500000000.000
1975-10-01,464400000000.000
1975-11-01,468100000000.000
1975-12-01,474500000000
1976-01-01,475200000000
1976-02-01,478200000000.000
1976-03-01,482700000000.000
1976-04-01,487600000000.000
1976-05-01,488800000000.000
1976-06-01,497400000000.000
1976-07-01,499100000000
1976-08-01,504300000000.000
1976-09-01,508300000000.000
1976-10-01,514000000000
1976-11-01,515300000000.000
1976-12-01,514800000000.000
1977-01-01,518400000000
1977-02-01,521400000000.000
1977-03-01,527300000000.000
1977-04-01,530300000000.000
1977-05-01,533800000000.000
1977-06-01,536800000000.000
1977-07-01,547900000000.000
1977-08-01,549800000000.000
1977-09-01,555800000000
1977-10-01,560700000000.000
1977-11-01,568500000000.000
1977-12-01,571900000000.000
1978-01-01,575900000000.000
1978-02-01,576700000000.000
1978-03-01,579100000000.000
1978-04-01,584200000000.000
1978-05-01,589600000000.000
1978-06-01,593700000000.000
1978-07-01,601400000000.000
1978-08-01,609100000000.000
1978-09-01,614400000000.000
1978-10-01,625200000000.000
1978-11-01,634100000000.000
1978-12-01,634600000000.000
1979-01-01,634800000000
1979-02-01,641300000000.000
1979-03-01,643200000000.000
1979-04-01,647400000000.000
1979-05-01,653900000000.000
1979-06-01,657400000000.000
1979-07-01,658900000000.000
1979-08-01,661300000000.000
1979-09-01,662600000000.000
1979-10-01,663500000000.000
1979-11-01,668000000000
1979-12-01,670900000000
1980-01-01,670700000000
1980-02-01,677400000000
1980-03-01,679800000000
1980-04-01,680500000000
1980-05-01,684000000000
1980-06-01,684500000000
1980-07-01,688700000000
1980-08-01,693200000000
1980-09-01,695600000000
1980-10-01,699200000000
1980-11-01,710800000000
1980-12-01,712700000000
1981-01-01,716200000000
1981-02-01,720900000000
1981-03-01,719700000000
1981-04-01,728000000000
1981-05-01,730900000000
1981-06-01,733800000000
1981-07-01,737200000000
1981-08-01,741700000000
1981-09-01,744500000000
1981-10-01,741700000000
1981-11-01,746600000000
1981-12-01,748100000000
1982-01-01,756900000000
1982-02-01,760900000000
1982-03-01,767500000000
1982-04-01,773100000000
1982-05-01,777500000000
1982-06-01,781900000000
1982-07-01,785400000000
1982-08-01,788800000000
1982-09-01,796500000000
1982-10-01,797000000000
1982-11-01,797700000000
1982-12-01,801700000000
1983-01-01,811400000000
1983-02-01,816600000000
1983-03-01,824800000000
1983-04-01,826600000000
1983-05-01,828400000000
1983-06-01,831700000000
1983-07-01,838500000000
1983-08-01,842300000000
1983-09-01,845800000000
1983-10-01,847000000000
1983-11-01,847200000000
1983-12-01,846000000000
1984-01-01,848200000000
1984-02-01,849300000000
1984-03-01,850900000000
1984-04-01,858100000000
1984-05-01,860300000000
1984-06-01,862600000000
1984-07-01,866300000000.000
1984-08-01,871600000000.000
1984-09-01,877300000000.000
1984-10-01,878700000000.000
1984-11-01,881700000000.000
1984-12-01,884400000000
1985-01-01,888500000000
1985-02-01,892900000000
1985-03-01,895600000000
1985-04-01,898900000000
1985-05-01,903300000000
1985-06-01,908200000000
1985-07-01,910700000000
1985-08-01,912800000000
1985-09-01,916100000000
1985-10-01,919800000000
1985-11-01,920500000000
1985-12-01,942000000000
1986-01-01,919100000000
1986-02-01,951400000000.000
1986-03-01,954900000000.000
1986-04-01,957800000000.000
1986-05-01,962900000000.000
1986-06-01,968200000000.000
1986-07-01,977100000000.000
1986-08-01,984100000000.000
1986-09-01,991600000000
1986-10-01,997000000000
1986-11-01,1005900000000.0000
1986-12-01,1010000000000
1987-01-01,1016600000000
1987-02-01,1023900000000.0000
1987-03-01,1029800000000
1987-04-01,1034500000000.0000
1987-05-01,1039900000000
1987-06-01,1046600000000
1987-07-01,1050900000000
1987-08-01,1055200000000.0000
1987-09-01,1058900000000.0000
1987-10-01,1065700000000.0000
1987-11-01,1070900000000.0000
1987-12-01,1074500000000.0000
1988-01-01,1077600000000.0000
1988-02-01,1085600000000.0000
1988-03-01,1091800000000.0000
1988-04-01,1099500000000.0000
1988-05-01,1106600000000.0000
1988-06-01,1114100000000.0000
1988-07-01,1116700000000.0000
1988-08-01,1120500000000.0000
1988-09-01,1129700000000.0000
1988-10-01,1135400000000.0000
1988-11-01,1142700000000.0000
1988-12-01,1150000000000
1989-01-01,1154800000000
1989-02-01,1159600000000.0000
1989-03-01,1164700000000.0000
1989-04-01,1170000000000
1989-05-01,1172900000000.0000
1989-06-01,1173900000000.0000
1989-07-01,1178800000000.0000
1989-08-01,1186900000000.0000
1989-09-01,1186300000000.0000
1989-10-01,1191400000000.0000
1989-11-01,1193800000000.0000
1989-12-01,1200600000000.0000
1990-01-01,1205700000000
1990-02-01,1209700000000.0000
1990-03-01,1212300000000.0000
1990-04-01,1216500000000.0000
1990-05-01,1218500000000.0000
1990-06-01,1226000000000
1990-07-01,1409000000000
1990-08-01,1414900000000.0000
1990-09-01,1428300000000.0000
1990-10-01,1438200000000
1990-11-01,1436000000000.000
1990-12-01,1438100000000.0000
1991-01-01,1442300000000
1991-02-01,1448700000000.0000
1991-03-01,1454400000000.0000
1991-04-01,1455400000000.0000
1991-05-01,1461500000000.0000
1991-06-01,1466700000000
1991-07-01,1474500000000.0000
1991-08-01,1483600000000.0000
1991-09-01,1491100000000.0000
1991-10-01,1501100000000.0000
1991-11-01,1511100000000.0000
1991-12-01,1527300000000.0000
1992-01-01,1534000000000
1992-02-01,1543700000000.0000
1992-03-01,1555400000000.0000
1992-04-01,1563500000000.0000
1992-05-01,1572700000000.0000
1992-06-01,1584900000000
1992-07-01,1596300000000
1992-08-01,1611000000000.000
1992-09-01,1628600000000.0000
1992-10-01,1656300000000.0000
1992-11-01,1655100000000.0000
1992-12-01,1657000000000
1993-01-01,1648100000000
1993-02-01,1652100000000.0000
1993-03-01,1671000000000.000
1993-04-01,1696400000000
1993-05-01,1704100000000
1993-06-01,1716400000000
1993-07-01,1733000000000
1993-08-01,1743200000000.0000
1993-09-01,1745800000000.0000
1993-10-01,1760200000000.0000
1993-11-01,1776400000000.0000
1993-12-01,1803200000000.0000
1994-01-01,1834100000000
1994-02-01,1848000000000.000
1994-03-01,1860000000000
1994-04-01,1878200000000.0000
1994-05-01,1883200000000.0000
1994-06-01,1885800000000.0000
1994-07-01,1889200000000.0000
1994-08-01,1884600000000.0000
1994-09-01,1889900000000.0000
1994-10-01,1888200000000.0000
1994-11-01,1885600000000.0000
1994-12-01,1874100000000
1995-01-01,1861600000000
1995-02-01,1858100000000.0000
1995-03-01,1859700000000.0000
